FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
208,Polygon,El Parral,122,VI Frailesca,REGOSOL,51.578366
209,Polygon,El Porvenir,70,XI Sierra Mariscal,ACRISOL,27.497153
210,Polygon,El Porvenir,70,XI Sierra Mariscal,ANDOSOL,0.692645
211,Polygon,El Porvenir,70,XI Sierra Mariscal,LUVISOL,0.027981
212,Polygon,El Porvenir,70,XI Sierra Mariscal,REGOSOL,54.389867
213,Polygon,Emiliano Zapata,123,IV De Los Llanos,FLUVISOL,1.878384
214,Polygon,Emiliano Zapata,123,IV De Los Llanos,LEPTOSOL,47.735872
215,Polygon,Emiliano Zapata,123,IV De Los Llanos,No aplica,2.515575
216,Polygon,Emiliano Zapata,123,IV De Los Llanos,PHAEOZEM,83.025148
217,Polygon,Emiliano Zapata,123,IV De Los Llanos,REGOSOL,71.177732
218,Polygon,Emiliano Zapata,123,IV De Los Llanos,VERTISOL,11.70392
219,Polygon,Escuintla,32,X Soconusco,ACRISOL,127.106282
220,Polygon,Escuintla,32,X Soconusco,CAMBISOL,47.432905
221,Polygon,Escuintla,32,X Soconusco,FLUVISOL,11.547308
222,Polygon,Escuintla,32,X Soconusco,LEPTOSOL,78.310763
223,Polygon,Escuintla,32,X Soconusco,LUVISOL,26.897901
224,Polygon,Escuintla,32,X Soconusco,No aplica,0.997553
225,Polygon,Escuintla,32,X Soconusco,PHAEOZEM,18.05465
226,Polygon,Escuintla,32,X Soconusco,REGOSOL,106.231448
227,Polygon,Francisco León,33,III Mezcalapa,ACRISOL,17.531571
228,Polygon,Francisco León,33,III Mezcalapa,ARENOSOL,2.395828
229,Polygon,Francisco León,33,III Mezcalapa,CAMBISOL,15.267981
230,Polygon,Francisco León,33,III Mezcalapa,LUVISOL,168.763223
231,Polygon,Francisco León,33,III Mezcalapa,PHAEOZEM,3.293769
232,Polygon,Francisco León,33,III Mezcalapa,REGOSOL,2.677998
233,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,CAMBISOL,0.003156
234,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,FLUVISOL,25.705944
235,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,LEPTOSOL,255.74824
236,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,LUVISOL,47.741625
237,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,No aplica,3.762049
238,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,PHAEOZEM,273.75315
239,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,REGOSOL,19.632726
240,Polygon,Frontera Comalapa,34,XI Sierra Mariscal,VERTISOL,136.248731
241,Polygon,Frontera Hidalgo,35,X Soconusco,CAMBISOL,86.219122
242,Polygon,Frontera Hidalgo,35,X Soconusco,FLUVISOL,5.308553
243,Polygon,Frontera Hidalgo,35,X Soconusco,LUVISOL,0.384305
244,Polygon,Frontera Hidalgo,35,X Soconusco,No aplica,0.699324
245,Polygon,Frontera Hidalgo,35,X Soconusco,PHAEOZEM,1.188309
246,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,ACRISOL,48.226978
247,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,CAMBISOL,106.521959
248,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,FLUVISOL,0.843711
249,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,LEPTOSOL,89.715209
250,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,LUVISOL,7.330693
251,Polygon,Honduras de la Sierra,125,XI Sierra Mariscal,REGOSOL,14.225432
252,Polygon,Huehuetán,37,X Soconusco,ACRISOL,62.052025
253,Polygon,Huehuetán,37,X Soconusco,CAMBISOL,102.181283
254,Polygon,Huehuetán,37,X Soconusco,FLUVISOL,13.649214
255,Polygon,Huehuetán,37,X Soconusco,GLEYSOL,15.852008
256,Polygon,Huehuetán,37,X Soconusco,LUVISOL,61.463066
257,Polygon,Huehuetán,37,X Soconusco,No aplica,2.228739
258,Polygon,Huehuetán,37,X Soconusco,PHAEOZEM,26.302002
259,Polygon,Huehuetán,37,X Soconusco,REGOSOL,19.230683
260,Polygon,Huitiupán,39,VII De Los Bosques,LEPTOSOL,71.402953
261,Polygon,Huitiupán,39,VII De Los Bosques,LUVISOL,265.437966
262,Polygon,Huitiupán,39,VII De Los Bosques,No aplica,0.204424
263,Polygon,Huitiupán,39,VII De Los Bosques,PHAEOZEM,1.323685
264,Polygon,Huitiupán,39,VII De Los Bosques,PLINTOSOL,0.472767
265,Polygon,Huixtán,38,V Altos Tsotsil Tseltal,ALISOL,27.457459
266,Polygon,Huixtán,38,V Altos Tsotsil Tseltal,FLUVISOL,3.182557
267,Polygon,Huixtán,38,V Altos Tsotsil Tseltal,LUVISOL,255.792683
268,Polygon,Huixtán,38,V Altos Tsotsil Tseltal,PHAEOZEM,24.125057
269,Polygon,Huixtla,40,X Soconusco,ARENOSOL,12.771839
270,Polygon,Huixtla,40,X Soconusco,CAMBISOL,119.295478
271,Polygon,Huixtla,40,X Soconusco,FLUVISOL,6.23461
272,Polygon,Huixtla,40,X Soconusco,GLEYSOL,115.158458
273,Polygon,Huixtla,40,X Soconusco,No aplica,3.896209
274,Polygon,Huixtla,40,X Soconusco,PHAEOZEM,121.514333
275,Polygon,Huixtla,40,X Soconusco,REGOSOL,5.03135
276,Polygon,Huixtla,40,X Soconusco,SOLONCHAK,12.227732
